ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
balearicapavonina,Balearica pavonina,,,5228232,"Balearica pavonina (Linnaeus, 1758)",Balearica pavonina,SPECIES,Animalia,1,Chordata,44,Aves,212,Gruiformes,1493,Gruidae,9313,Balearica,2474928
bamanophisdorri,Bamanophis dorri,,,7503019,"Bamanophis dorri (Lataste, 1888)",Bamanophis dorri,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Colubridae,6172,Bamanophis,4820307
bauhiniareticulata,Bauhinia reticulata,,,2953136,Bauhinia reticulata DC.,Bauhinia reticulata,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Bauhinia,2952935
bauhiniarufescens,Bauhinia rufescens,,,2953710,Bauhinia rufescens Lam.,Bauhinia rufescens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Bauhinia,2952935
bergiasuffruticosa,Bergia suffruticosa,,,5646125,Bergia suffruticosa Fenzl,Bergia suffruticosa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Elatinaceae,6644,Bergia,3189642
bidensbiternata,Bidens biternata,,,5392065,Bidens biternata (Lour.) Merr. & Sherff,Bidens biternata,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Bidens,3105856
bitisarietans,Bitis arietans,,,8901465,"Bitis arietans Merrem, 1820",Bitis arietans,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Viperidae,5024,Bitis,2444943
blainvilleagayana,Blainvillea gayana,,,8264433,Blainvillea gayana Cass.,Blainvillea gayana,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Blainvillea,3088438
blepharislinariifolia,Blepharis linariifolia,,,5575474,Blepharis linariifolia Pers.,Blepharis linariifolia,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Acanthaceae,2393,Blepharis,3233799
blepharismaderaspatensis,Blepharis maderaspatensis,,,5575447,Blepharis maderaspatensis Heyne ex Roth,Blepharis maderaspatensis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Acanthaceae,2393,Blepharis,3233799
blumeaaxillaris,Blumea axillaris,,,5395843,Blumea axillaris DC.,Blumea axillaris,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Blumea,3119250
blumeabojeri,Blumea bojeri,,,3086704,Pseudoconyza viscosa (Mill.) D'Arcy,Pseudoconyza viscosa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Pseudoconyza,6444103
