ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ampari-chamaeleoafricanus-1,,ampari,chamaeleoafricanus,ównáyá:rà,ównáyá:rà,,,,,,,
ampari-chlorispilosa-1,,ampari,chlorispilosa,nàríyà,nàríyà,,,,,,,
ampari-chrotogonussenegalensis-1,,ampari,chrotogonussenegalensis,kàyá dɛ́mbɛ̀,kàyá dɛ́mbɛ̀,,,,,,,
ampari-chrysopogonnigritanus-1,,ampari,chrysopogonnigritanus,wɔ̀mbɔ̀-jɛ́:nì,wɔ̀mbɔ̀-jɛ́:nì,,,,,,,
ampari-ciconiaabdimii-1,,ampari,ciconiaabdimii,pùrà:mpúrá,pùrà:mpúrá,,,,,,,
ampari-cienfuegosiadigitata-1,,ampari,cienfuegosiadigitata,póníyá kɔ̀júwè,póníyá kɔ̀júwè,,,,,,,
ampari-cissusquadrangularis-1,,ampari,cissusquadrangularis,yɔ̀:-gé-dámà,yɔ̀:-gé-dámà,,,,,,,
ampari-citrulluslanatus-1,,ampari,citrulluslanatus,tɛ̀wⁿɔ́ bɔ́:mbɛ̀,tɛ̀wⁿɔ́ bɔ́:mbɛ̀,,,,,,,
ampari-citrulluslanatus-2,,ampari,citrulluslanatus,tɛ́wⁿɔ́,tɛ́wⁿɔ́,,,,,,,
ampari-citrulluslanatus-3,,ampari,citrulluslanatus,tɛ́wⁿɔ́,tɛ́wⁿɔ́,,,,,,,
ampari-citruslimon-1,,ampari,citruslimon,nèmbùrú tòŋtòŋ,nèmbùrú tòŋtòŋ,,,,,,,
ampari-citrussinensis-1,,ampari,citrussinensis,nèmbùrú,nèmbùrú,,,,,,,
ampari-colacordifolia-1,,ampari,colacordifolia,kɔ̀:rɛ́ gúndà,kɔ̀:rɛ́ gúndà,,,,,,,
ampari-colalaurifolia-1,,ampari,colalaurifolia,kɔ́:rɛ̀,kɔ́:rɛ̀,,,,,,,
ampari-columbaguinea-1,,ampari,columbaguinea,gùmbá-gùmbà,gùmbá-gùmbà,,,,,,,
ampari-columbalivia-1,,ampari,columbalivia,gùmbá-gùmbà,gùmbá-gùmbà,,,,,,,
ampari-columbalivia-2,,ampari,columbalivia,gùmbá-gùmbà,gùmbá-gùmbà,,,,,,,
ampari-combretumglutinosum-1,,ampari,combretumglutinosum,gújà,gújà,,,,,,,
ampari-combretummicranthum-1,,ampari,combretummicranthum,gùjá-kɛ́rì,gùjá-kɛ́rì,,,,,,,
ampari-commelinabenghalensisbenghalensis-1,,ampari,commelinabenghalensisbenghalensis,pɛ̀ràríyà,pɛ̀ràríyà,,,,,,,
ampari-commelinaforskalaei-1,,ampari,commelinaforskalaei,pɛ̀ràríyà,pɛ̀ràríyà,,,,,,,
ampari-commiphoraafricana-1,,ampari,commiphoraafricana,kùrà:ríyè,kùrà:ríyè,,,,,,,
ampari-coniestaignefusalis-1,,ampari,coniestaignefusalis,sě:ⁿ tùmà sì:,sě:ⁿ tùmà sì:,,,,,,,
ampari-coraciasabyssinicus-1,,ampari,coraciasabyssinicus,tɛ̀ŋgɔ́ ǹdɔ́rí,tɛ̀ŋgɔ́ ǹdɔ́rí,,,,,,,
ampari-corchorus-1,,ampari,corchorus,ɔ̀rɔ̀-[mɛ̂y-mɛ̂y],ɔ̀rɔ̀-[mɛ̂y-mɛ̂y],,,,,,,
ampari-corvusalbus-1,,ampari,corvusalbus,kà:ⁿká:ⁿ,kà:ⁿká:ⁿ,,,,,,,
ampari-crataevaadansoniisubspodora-1,,ampari,crataevaadansoniisubspodora,tógò,tógò,,,,,,,
ampari-cricetomysgambianus-1,,ampari,cricetomysgambianus,gújù,gújù,,,,,,,
ampari-crociduracinderella-1,,ampari,crociduracinderella,síyá šù:ⁿšú:ⁿ,síyá šù:ⁿšú:ⁿ,,,,,,,
ampari-crocodylusniloticus-1,,ampari,crocodylusniloticus,káná,káná,,,,,,,
ampari-crocutacrocuta-1,,ampari,crocutacrocuta,kúmání,kúmání,,,,,,,
ampari-crossotusalbicollis-1,,ampari,crossotusalbicollis,gǐ:ⁿ kɛ̀wɛ̀,gǐ:ⁿ kɛ̀wɛ̀,,,,,,,
ampari-crotalariapodocarpa-1,,ampari,crotalariapodocarpa,gɛ̀wⁿɛ́ kɔ̀jì,gɛ̀wⁿɛ́ kɔ̀jì,,,,,,,
ampari-crotalariaretusa-1,,ampari,crotalariaretusa,gɛ̀wⁿɛ́ kɔ̀jì,gɛ̀wⁿɛ́ kɔ̀jì,,,,,,,
ampari-cucumismelosubspagrestisvaragrestisnaudin-1,,ampari,cucumismelosubspagrestisvaragrestisnaudin,pàkòsí tɛ̀wɛ̀,pàkòsí tɛ̀wɛ̀,,,,,,,
ampari-cucurbita-1,,ampari,cucurbita,gámbò,gámbò,,,,,,,
ampari-cyanotislanata-1,,ampari,cyanotislanata,tàwá dɛ̀rɛ̀ kɔ́jí,tàwá dɛ̀rɛ̀ kɔ́jí,,,,,,,
ampari-cymbopogoncaesiusgiganteus-1,,ampari,cymbopogoncaesiusgiganteus,dû:ⁿ,dû:ⁿ,,,,,,,
ampari-cymbopogonschoenanthus-1,,ampari,cymbopogonschoenanthus,kɔ̀jí nàríyè,kɔ̀jí nàríyè,,,,,,,
ampari-cynanchumviminale-1,,ampari,cynanchumviminale,kìmɛ́-pàjè,kìmɛ́-pàjè,,,,,,,
ampari-cyperusarticulatus-1,,ampari,cyperusarticulatus,gwɛ́,gwɛ́,,,,,,,
ampari-cyperusesculentus-1,,ampari,cyperusesculentus,gwɛ́,gwɛ́,,,,,,,
ampari-cyperusrotundus-1,,ampari,cyperusrotundus,gwɛ́ nàrà,gwɛ́ nàrà,,,,,,,
ampari-cyperussquarrosus-1,,ampari,cyperussquarrosus,gwɛ́,gwɛ́,,,,,,,
ampari-dactylocteniumaegyptium-1,,ampari,dactylocteniumaegyptium,nàríyà,nàríyà,,,,,,,
ampari-dalbergiamelanoxylon-1,,ampari,dalbergiamelanoxylon,píndá,píndá,,,,,,,
ampari-damaliscuskorrigum-1,,ampari,damaliscuskorrigum,kújúmá,kújúmá,,,,,,,
ampari-deltaemarginatum-1,,ampari,deltaemarginatum,gàndá-gàndà,gàndá-gàndà,,,,,,,
ampari-dendropicosgoertae-1,,ampari,dendropicosgoertae,pɔ̀mbɔ̀rɔ́ tòmbù,pɔ̀mbɔ̀rɔ́ tòmbù,,,,,,,
ampari-detariummicrocarpum-1,,ampari,detariummicrocarpum,ándárà,ándárà,,,,,,,
ampari-dichrostachyscinerea-1,,ampari,dichrostachyscinerea,pójjó,pójjó,,,,,,,
ampari-digitariaciliarisvarciliaris-1,,ampari,digitariaciliarisvarciliaris,púndá yɔ̀gè sɔ̀jɛ̀rɛ̀,púndá yɔ̀gè sɔ̀jɛ̀rɛ̀,,,,,,,
ampari-digitariaexilis-1,,ampari,digitariaexilis,pɔ̂:ⁿ,pɔ̂:ⁿ,,,,,,,
ampari-diheteropogonhagerupii-1,,ampari,diheteropogonhagerupii,òndògé-sú:jɛ̀,òndògé-sú:jɛ̀,,,,,,,
ampari-dinothrombiumtinctorium-1,,ampari,dinothrombiumtinctorium,nǎ: sùgɔ̀,nǎ: sùgɔ̀,,,,,,,
ampari-dioscoreaalata-1,,ampari,dioscoreaalata,kû:ⁿ,kû:ⁿ,,,,,,,
ampari-diospyrosmespiliformis-1,,ampari,diospyrosmespiliformis,kùmà-ní:wè,kùmà-ní:wè,,,,,,,
ampari-dipcadiviride-1,,ampari,dipcadiviride,kùmàní pó:ndíyò,kùmàní pó:ndíyò,,,,,,,
ampari-echinochloacolona-1,,ampari,echinochloacolona,sà:ndá kɔ̀jùwè,sà:ndá kɔ̀jùwè,,,,,,,
ampari-eidolonhelvum-1,,ampari,eidolonhelvum,ɛ́mɛ́ndɛ̀,ɛ́mɛ́ndɛ̀,,,,,,,
ampari-eleusineindica-1,,ampari,eleusineindica,dèbìtá-pùtà,dèbìtá-pùtà,,,,,,,
ampari-emberizatahapisi-1,,ampari,emberizatahapisi,sɔ̀:ŋgúrɛ̀,sɔ̀:ŋgúrɛ̀,,,,,,,
ampari-endostemontereticaulis-1,,ampari,endostemontereticaulis,gìdó-pàgàrà,gìdó-pàgàrà,,,,,,,
ampari-enteropogonprieurii-1,,ampari,enteropogonprieurii,jè:ní nàrà,jè:ní nàrà,,,,,,,
ampari-eragrostispilosa-1,,ampari,eragrostispilosa,dú:nù-kó,dú:nù-kó,,,,,,,
ampari-eragrostistremula-1,,ampari,eragrostistremula,ìjó-ìjò,ìjó-ìjò,,,,,,,
ampari-erythrocebuspatas-1,,ampari,erythrocebuspatas,óndò,óndò,,,,,,,
ampari-eucalyptusastringens-1,,ampari,eucalyptusastringens,šíníwá:r tíŋgɔ́yɛ̀,šíníwá:r tíŋgɔ́yɛ̀,,,,,,,
ampari-euphorbiaaustrooccidentalis-1,,ampari,euphorbiaaustrooccidentalis,kó:-sèmò-kɔ̀jí:wɛ̀,kó:-sèmò-kɔ̀jí:wɛ̀,,,,,,,
ampari-euphorbiabalsamifera-1,,ampari,euphorbiabalsamifera,gɛ̀mɛ́jɛ̀,gɛ̀mɛ́jɛ̀,,,,,,,
ampari-euphorbiachapmanii-1,,ampari,euphorbiachapmanii,sìrê:ⁿ,sìrê:ⁿ,,,,,,,
ampari-euphorbiahirta-1,,ampari,euphorbiahirta,kó:-sèmò-kɔ̀jí:wɛ̀,kó:-sèmò-kɔ̀jí:wɛ̀,,,,,,,
ampari-eupodotissenegalensis-1,,ampari,eupodotissenegalensis,àgá síjà,àgá síjà,,,,,,,
ampari-faidherbiaalbida-1,,ampari,faidherbiaalbida,kú:ⁿ,kú:ⁿ,,,,,,,
ampari-falcoperegrinus-1,,ampari,falcoperegrinus,těw kómbò,těw kómbò,,,,,,,
ampari-falcotinnunculus-1,,ampari,falcotinnunculus,óndó tèw,óndó tèw,,,,,,,
ampari-feretiaapodanthera-1,,ampari,feretiaapodanthera,pèsé pìgìríyè,pèsé pìgìríyè,,,,,,,
ampari-ficusabutilifolia-1,,ampari,ficusabutilifolia,kòmbé gùrɔ̂wⁿgùrɔ̂wⁿ,kòmbé gùrɔ̂wⁿgùrɔ̂wⁿ,,,,,,,
ampari-ficuscordatasubsplecardiiccberg-1,,ampari,ficuscordatasubsplecardiiccberg,wⁿɛ́wⁿ̀ɛ̀,wⁿɛ́wⁿ̀ɛ̀,,,,,,,
