id,scientific_name,GBIF_ID,rank
arivelaviscosa,Arivela viscosa,6370562,SPECIES
arvicanthisniloticus,Arvicanthis niloticus,9733997,
ascaricidarichardii,Ascaricida richardii,6064939,
aselliatridens,Asellia tridens,2432602,SPECIES
asparagusflagellaris,Asparagus flagellaris,2768456,SPECIES
astraealobata,Astraea lobata,5380859,SPECIES
atelerixalbiventris,Atelerix albiventris,2437140,SPECIES
atilaxpaludinosus,Atilax paludinosus,2434188,SPECIES
atractaspiswatsoni,Atractaspis watsoni,2472572,SPECIES
atractomorphaacutipennis,Atractomorpha acutipennis,5101021,SPECIES
azadirachtaindica,Azadirachta indica,3190474,SPECIES
bagrusbajad,Bagrus bajad,5201746,SPECIES
baisseamultiflora,Baissea multiflora,3615895,SPECIES
balanitesaegyptiacus,Balanites aegyptiacus,,
balearicapavonina,Balearica pavonina,5228232,SPECIES
bamanophisdorri,Bamanophis dorri,7503019,SPECIES
bauhiniareticulata,Bauhinia reticulata,2953136,SPECIES
bauhiniarufescens,Bauhinia rufescens,2953710,SPECIES
bergiasuffruticosa,Bergia suffruticosa,5646125,SPECIES
bidensbiternata,Bidens biternata,5392065,SPECIES
bitisarietans,Bitis arietans,8901465,SPECIES
blainvilleagayana,Blainvillea gayana,8264433,
blepharislinariifolia,Blepharis linariifolia,5575474,SPECIES
blepharismaderaspatensis,Blepharis maderaspatensis,5575447,SPECIES
blumeaaxillaris,Blumea axillaris,5395843,SPECIES
blumeabojeri,Blumea bojeri,3086704,
boerhaviacoccinea,Boerhavia coccinea,3086287,SPECIES
boerhaviadiffusa,Boerhavia diffusa,3086282,
boerhaviarepens,Boerhavia repens,3086288,SPECIES
bolboschoenusmaritimus,Bolboschoenus maritimus,2718307,SPECIES
bombaxcostatum,Bombax costatum,4073451,SPECIES
borassusaethiopum,Borassus aethiopum,2733925,SPECIES
bosciaangustifolia,Boscia angustifolia,5602553,
bosciasalicifolia,Boscia salicifolia,5602398,SPECIES
bosciasenegalensis,Boscia senegalensis,5377842,
bostaurusprimigenius,Bos taurus primigenius,4262590,SUBSPECIES
brachiaria,Brachiaria,2704067,GENUS
brachiarialata,Brachiaria lata,4132963,SPECIES
brachiariavillosa,Brachiaria villosa,4131711,SPECIES
brachiariaxantholeuca,Brachiaria xantholeuca,4131647,SPECIES
brycinus,Brycinus,2356281,GENUS
brycinusleuciscus,Brycinus leuciscus,2356306,SPECIES
brycinusnurse,Brycinus nurse,2356317,SPECIES
bubalornisalbirostris,Bubalornis albirostris,2494074,SPECIES
buboascalaphus,Bubo ascalaphus,5959134,SPECIES
bubocinerascens,Bubo cinerascens,5959117,SPECIES
bubolacteus,Bubo lacteus,5959139,SPECIES
bubulcusibis,Bubulcus ibis,2480830,SPECIES
bucorvusabyssinicus,Bucorvus abyssinicus,2476042,SPECIES
bulbostylishispidula,Bulbostylis hispidula,5292456,SPECIES
buphagusafricanus,Buphagus africanus,2489053,SPECIES
burhinuscapensis,Burhinus capensis,2482097,SPECIES
burhinussenegalensis,Burhinus senegalensis,2482099,SPECIES
buteoauguralis,Buteo auguralis,2480568,SPECIES
cadabafarinosa,Cadaba farinosa,3054234,SPECIES
cadabaglandulosa,Cadaba glandulosa,3872613,SPECIES
calandrellabrachydactyla,Calandrella brachydactyla,2490681,SPECIES
callosobruchusmaculatus,Callosobruchus maculatus,1047343,SPECIES
calotropisprocera,Calotropis procera,5414566,SPECIES
camponotusmaculatus,Camponotus maculatus,1313646,SPECIES
camponotussericeus,Camponotus sericeus,5034753,SPECIES
canavaliaafricana,Canavalia africana,2962182,SPECIES
canavalia,Canavalia,8285917,GENUS
canavaliaensiformis,Canavalia ensiformis,7799711,SPECIES
canisadustusadustus,Canis adustus adustus,7193870,SUBSPECIES
canisaureus,Canis aureus,5219219,SPECIES
canislupusfamiliaris,Canis lupus familiaris,6164210,SUBSPECIES
capparissepiaria,Capparis sepiaria,7273413,SPECIES
capparistomentosa,Capparis tomentosa,5602023,SPECIES
caprimulguseximius,Caprimulgus eximius,2496949,SPECIES
caprimulgustristigma,Caprimulgus tristigma,2496926,SPECIES
capsicum,Capsicum,2932937,GENUS
capsicumfrutescens,Capsicum frutescens,8403992,SPECIES
caracalcaracal,Caracal caracal,2435010,SPECIES
carallumaacutangula,Caralluma acutangula,3578737,
carallumaadscendens,Caralluma adscendens,8081628,SPECIES
cardiospermumhalicacabum,Cardiospermum halicacabum,3189939,SPECIES
caricapapaya,Carica papaya,2874484,SPECIES
cassiasieberiana,Cassia sieberiana,5357182,SPECIES
cataglyphis,Cataglyphis,1319559,GENUS
cataloipuscymbiferus,Cataloipus cymbiferus,1701280,SPECIES
catantopsstramineus,Catantops stramineus,1710673,SPECIES
ceibapentandra,Ceiba pentandra,5406697,
celosiaargentea,Celosia argentea,3085191,SPECIES
celosiatrigyna,Celosia trigyna,3085198,SPECIES
celtistoka,Celtis toka,4160100,SPECIES
cenchrusbiflorus,Cenchrus biflorus,5289734,
cenchrusprieurii,Cenchrus prieurii,4933038,SPECIES
centaureaperrottetii,Centaurea perrottetii,4249996,
centropussenegalensis,Centropus senegalensis,5231999,SPECIES
cerastesvipera,Cerastes vipera,5221013,SPECIES
ceratothecasesamoides,Ceratotheca sesamoides,5415089,
cercotrichasgalactotes,Cercotrichas galactotes,2492478,
cercotrichaspodobe,Cercotrichas podobe,2492476,SPECIES
chalcidesocellatus,Chalcides ocellatus,5225137,SPECIES
chamaecristaabsus,Chamaecrista absus,2949868,SPECIES
chamaecristamimosoides,Chamaecrista mimosoides,2949769,SPECIES
chamaecristanigricans,Chamaecrista nigricans,2950539,
chamaeleoafricanus,Chamaeleo africanus,2448980,SPECIES
chlorispilosa,Chloris pilosa,4142045,SPECIES
chlorophytumgallabatense,Chlorophytum gallabatense,2774366,SPECIES
chrotogonussenegalensis,Chrotogonus senegalensis,1727587,SPECIES
chrozophorabrocchiana,Chrozophora brocchiana,3054436,SPECIES
chrysopogonnigritanus,Chrysopogon nigritanus,5677535,SPECIES
ciconiaabdimii,Ciconia abdimii,2481915,SPECIES
ciconiaciconia,Ciconia ciconia,2481912,SPECIES
cienfuegosiadigitata,Cienfuegosia digitata,3938079,SPECIES
cissuspopulnea,Cissus populnea,4053587,SPECIES
cissusquadrangularis,Cissus quadrangularis,7130673,SPECIES
citharinuslatus,Citharinus latus,2355311,SPECIES
citrulluscolocynthis,Citrullus colocynthis,2874622,SPECIES
citrulluslanatus,Citrullus lanatus,2874621,
citruslimon,Citrus limon,3190171,
citrusmaxima,Citrus maxima,3190160,
citrussinensis,Citrus sinensis,3190176,
civettictiscivetta,Civettictis civetta,2434634,SPECIES
clamatorlevaillantii,Clamator levaillantii,2496465,SPECIES
cleomesp,Cleome sp.,8126566,SPECIES
cocciniagrandis,Coccinia grandis,2874564,SPECIES
cochlospermumplanchonii,Cochlospermum planchonii,7409011,SPECIES
colacordifolia,Cola cordifolia,7997102,SPECIES
colalaurifolia,Cola laurifolia,8123672,SPECIES
columbaguinea,Columba guinea,5231817,SPECIES
columbalivia,Columba livia,2495414,SPECIES
combretumaculeatum,Combretum aculeatum,3698905,SPECIES
combretumadenogonium,Combretum adenogonium,3698812,
combretumcollinumhypopilinum,Combretum collinum hypopilinum,7558056,SUBSPECIES
combretumglutinosum,Combretum glutinosum,3698250,SPECIES
combretummicranthum,Combretum micranthum,3698309,SPECIES
combretumnioroense,Combretum nioroense,3699787,
combretumpaniculatum,Combretum paniculatum,7166895,SPECIES
commelinabenghalensisbenghalensis,Commelina benghalensis benghalensis,,
commelinaforskalaei,Commelina forskalaei,3697010,SPECIES
commelinalivingstonii,Commelina Livingstonii,8268360,
commiphoraafricana,Commiphora africana,7286896,
commiphorapedunculata,Commiphora pedunculata,3993856,SPECIES
coniestaignefusalis,Coniesta ignefusalis,1889701,SPECIES
conocephalusconocephalus,Conocephalus conocephalus,1683285,SPECIES
coraciasabyssinicus,Coracias abyssinicus,2475373,SPECIES
corchorus,Corchorus,3032212,GENUS
corchorusolitorius,Corchorus olitorius,3152084,SPECIES
corchorustridens,Corchorus tridens,3152090,
cordiamyxa,Cordia myxa,10031650,SPECIES
cordiasinensis,Cordia sinensis,5660676,SPECIES
corvusalbus,Corvus albus,2482519,SPECIES
corvusruficollis,Corvus ruficollis,2482479,SPECIES
crataevaadansoniisubspodora,Crataeva adansonii subsp. odora,,
creoleonafricanus,Creoleon africanus,2098554,SPECIES
cricetomysgambianus,Cricetomys gambianus,2438550,SPECIES
criniferpiscator,Crinifer piscator,2475211,SPECIES
crinumornatum,Crinum ornatum,2853725,SPECIES
crociduracinderella,Crocidura cinderella,2435755,SPECIES
crocodylusniloticus,Crocodylus niloticus,2441341,SPECIES
crocutacrocuta,Crocuta crocuta,5218781,SPECIES
crossotusalbicollis,Crossotus albicollis,1153530,SPECIES
crotalariaatrorubens,Crotalaria atrorubens,2942344,
crotalariacomosa,Crotalaria comosa,2942227,SPECIES
crotalariacuspidata,Crotalaria cuspidata,2942595,SPECIES
crotalariacylindrocarpa,Crotalaria cylindrocarpa,2941760,SPECIES
crotalariapodocarpa,Crotalaria podocarpa,2942954,SPECIES
crotalariaretusa,Crotalaria retusa,2942610,SPECIES
cryptocatantopshaemorrhoidalis,Cryptocatantops haemorrhoidalis,1707609,SPECIES
ctenolepiscerasiformis,Ctenolepis cerasiformis,3623378,
cucumismelosubspagrestisvaragrestisnaudin,Cucumis melo subsp. agrestis var. agrestis Naudin,6422790,
cucumisprophetarumprophetarum,Cucumis prophetarum prophetarum,7344962,SUBSPECIES
cucumispustulatus,Cucumis pustulatus,4939974,SPECIES
cucurbita,Cucurbita,7853991,GENUS
cursoriustemminckii,Cursorius temminckii,2480745,SPECIES
cyaneolyttachopardi,Cyaneolytta chopardi,4740211,
cyanotislanata,Cyanotis lanata,5303394,SPECIES
cybister,Cybister,1038678,GENUS
cymbopogoncaesiusgiganteus,Cymbopogon caesius giganteus,4151098,
cymbopogonschoenanthus,Cymbopogon schoenanthus,2705269,SPECIES
cynanchumhastifolium,Cynanchum hastifolium,7312422,
cynanchumviminale,Cynanchum viminale,7504382,SPECIES
cynodondactylon,Cynodon dactylon,6109637,SPECIES
cyperusamabilis,Cyperus amabilis,2716444,SPECIES
cyperusarticulatus,Cyperus articulatus,2713638,
cyperusesculentus,Cyperus esculentus,2716226,
cyperusiria,Cyperus iria,2715729,SPECIES
cyperusmaculatus,Cyperus maculatus,2715867,SPECIES
cyperusrotundus,Cyperus rotundus,2714818,SPECIES
cyperusspp,Cyperus spp.,2713455,
cyperussquarrosus,Cyperus squarrosus,2714313,
cyphostemmacymosumdesc,Cyphostemma cymosum Desc.,7293702,
cypsiurusparvus,Cypsiurus parvus,2477093,SPECIES
dactylocteniumaegyptium,Dactyloctenium aegyptium,2706188,SPECIES
dalbergiamelanoxylon,Dalbergia melanoxylon,2968897,SPECIES
dalechampiaparvifolia,Dalechampia parvifolia,3055649,
damaliscuskorrigum,Damaliscus korrigum,7261430,SPECIES
danielliaoliveri,Daniellia oliveri,2948733,SPECIES
daucuscarota,Daucus carota,3034742,
deltaemarginatum,Delta emarginatum,5036655,SPECIES
dendrocygnabicolor,Dendrocygna bicolor,2498402,SPECIES
dendrocygnaviduata,Dendrocygna viduata,2498396,SPECIES
dendropicosgoertae,Dendropicos goertae,2478424,SPECIES
desmodiumhirtum,Desmodium hirtum,2967795,SPECIES
detariummicrocarpum,Detarium microcarpum,2961176,SPECIES
detariumsenegalense,Detarium senegalense,2961177,SPECIES
diabolocatantopsaxillaris,Diabolocatantops axillaris,1713577,SPECIES
dichrostachyscinerea,Dichrostachys cinerea,2975891,SPECIES
dicomatomentosa,Dicoma tomentosa,3103375,
digitariaciliarisvarciliaris,Digitaria ciliaris var. ciliaris,5289998,
digitaria,Digitaria,2704525,GENUS
digitariaexilis,Digitaria exilis,5289953,SPECIES
diheteropogonhagerupii,Diheteropogon hagerupii,4125105,SPECIES
dinothrombiumtinctorium,Dinothrombium tinctorium,,
dioscoreaalata,Dioscorea alata,2754476,SPECIES
diospyrosmespiliformis,Diospyros mespiliformis,4071204,
dipcadiviride,Dipcadi viride,2768199,SPECIES
duroniachloronota,Duronia chloronota,1702272,SPECIES
echinochloacolona,Echinochloa colona,2702812,SPECIES
echinochloa,Echinochloa,2702794,GENUS
echinochloapyramidalis,Echinochloa pyramidalis,2702805,SPECIES
echinochloastagnina,Echinochloa stagnina,2702806,SPECIES
echinopspappii,Echinops pappii,5392909,SPECIES
echisleucogaster,Echis leucogaster,2443885,SPECIES
echisocellatus,Echis ocellatus,2443880,SPECIES
ecliptaprostrata,Eclipta prostrata,5384950,SPECIES
eidolonhelvum,Eidolon helvum,2432851,SPECIES
elaeisguineensis,Elaeis guineensis,2731882,
eleocharisacutangula,Eleocharis acutangula,2716800,SPECIES
eleusineindica,Eleusine indica,2705953,
elionuruselegans,Elionurus elegans,4114815,SPECIES
emberizaflaviventris,Emberiza flaviventris,2491478,SPECIES
emberizastriolatasahari,Emberiza striolata sahari,8862378,
emberizatahapisi,Emberiza tahapisi,2491491,SPECIES
empusaguttula,Empusa guttula,5048827,SPECIES
endostemontereticaulis,Endostemon tereticaulis,3899585,SPECIES
entadaafricana,Entada africana,2976222,SPECIES
enteropogonprieurii,Enteropogon prieurii,5290205,SPECIES
equusquagga,Equus quagga,2440892,SPECIES
eragrostisciliaris,Eragrostis ciliaris,2705373,
eragrostis,Eragrostis,2705322,
eragrostisgangetica,Eragrostis gangetica,2705384,
eragrostispilosa,Eragrostis pilosa,2705400,SPECIES
eragrostistremula,Eragrostis tremula,4139754,SPECIES
eremiaphilareticulata,Eremiaphila reticulata,1404109,SPECIES
eremomelapusilla,Eremomela pusilla,2492972,SPECIES
eremopterixleucotis,Eremopterix leucotis,2490692,SPECIES
eremopterixnigriceps,Eremopterix nigriceps,2490694,SPECIES
erythrinasenegalensis,Erythrina senegalensis,5349683,
erythrocebuspatas,Erythrocebus patas,2436548,SPECIES
eucalyptusastringens,Eucalyptus astringens,3176973,SPECIES
euphorbiaaustrooccidentalis,Euphorbia austro-occidentalis,3916935,SPECIES
euphorbiabalsamifera,Euphorbia balsamifera,3069871,SPECIES
euphorbiachapmanii,Euphorbia chapmanii,3067421,SPECIES
euphorbiahirta,Euphorbia hirta,3068937,SPECIES
euphorbiasudanica,Euphorbia sudanica,3068468,SPECIES
euplectesfranciscanus,Euplectes franciscanus,2494086,SPECIES
euplocastrigosa,Euploca strigosa,4062306,SPECIES
eupodotissenegalensis,Eupodotis senegalensis,2474890,SPECIES
eurysternacrisbrevipes,Eurysternacris brevipes,1704398,SPECIES
evolvulusalsinoides,Evolvulus alsinoides,2928673,
faidherbiaalbida,Faidherbia albida,5360150,SPECIES
falcoalopex,Falco alopex,2481002,SPECIES
falcoardosiaceus,Falco ardosiaceus,2481031,SPECIES
falcobiarmicus,Falco biarmicus,8014966,SPECIES
falcochicquera,Falco chicquera,2481019,SPECIES
falcoperegrinus,Falco peregrinus,2481047,SPECIES
falcotinnunculus,Falco tinnunculus,9616058,SPECIES
farsetiastenoptera,Farsetia stenoptera,3047999,SPECIES
farsetiastylosa,Farsetia stylosa,3047985,SPECIES
feliscatus,Felis catus,2435035,SPECIES
felismargarita,Felis margarita,2435028,SPECIES
felissylvestrisschreber1775,"Felis sylvestris Schreber, 1775",7964291,
feretiaapodanthera,Feretia apodanthera,2899651,SPECIES
ficusabutilifolia,Ficus abutilifolia,5570182,SPECIES
ficuscordatasubsplecardiiccberg,Ficus cordata subsp. lecardii C.C. Berg,5570078,
ficusdicranostyla,Ficus dicranostyla,5572427,SPECIES
ficusglumosa,Ficus glumosa,5571065,SPECIES
ficusingensvaringens,Ficus ingens var. ingens,7567112,
ficusplatyphylla,Ficus platyphylla,5572533,SPECIES
ficussarmentosaluducca,Ficus sarmentosa luducca,5930651,VARIETY
ficussur,Ficus sur,5569827,SPECIES
ficussycomorus,Ficus sycomorus,5361921,SPECIES
ficusthonningii,Ficus thonningii,5361900,SPECIES
flueggeavirosavirosa,Flueggea virosa virosa,9660177,SUBSPECIES
forficulasenegalensis,Forficula senegalensis,4393072,SPECIES
francolinusbicalcaratus,Francolinus bicalcaratus,5227896,SPECIES
francolinus,Francolinus,5227810,GENUS
galagosenegalensis,Galago senegalensis,9198359,SPECIES
galeodesolivieri,Galeodes olivieri,5167325,SPECIES
galerellasanguinea,Galerella sanguinea,5219098,SPECIES
gardeniaerubescens,Gardenia erubescens,5335013,SPECIES
gardeniasokotensis,Gardenia sokotensis,5334953,SPECIES
gardeniaternifolia,Gardenia ternifolia,5334974,SPECIES
gastrimargusafricanus,Gastrimargus africanus,5099553,SPECIES
gazelladama,Gazella dama,4262713,
gazelladorcas,Gazella dorcas,5220149,SPECIES
genettagenetta,Genetta genetta,5219362,SPECIES
genettathierryi,Genetta thierryi,5219353,SPECIES
geochelonesulcata,Geochelone sulcata,2441533,
gerbillus,Gerbillus,2437782,GENUS
giraffacamelopardalis,Giraffa camelopardalis,2441205,SPECIES
gisekiapharnaceoides,Gisekia pharnaceoides,7265816,SPECIES
glaucidiumperlatum,Glaucidium perlatum,5232086,SPECIES
gloriosasuperba,Gloriosa superba,2740024,SPECIES
glossonemaboveanum,Glossonema boveanum,9287965,
gongylophismuelleri,Gongylophis muelleri,5225648,
gonimbrasia,Gonimbrasia,1866248,GENUS
gossypiumanomalum,Gossypium anomalum,8201164,SPECIES
gossypiumhirsutum,Gossypium hirsutum,3152661,SPECIES
grewiabicolor,Grewia bicolor,8042537,SPECIES
grewiaflavescensvarflavescens,Grewia flavescens var flavescens,4260042,
grewialasiodiscus,Grewia lasiodiscus,4259360,SPECIES
grewiatenaxforskfiori,Grewia tenax (Forsk.) Fiori,7311070,
grewiavillosa,Grewia villosa,4259732,
gryllusbimaculatus,Gryllus bimaculatus,1713034,
guierasenegalensis,Guiera senegalensis,3699789,SPECIES
gymnosporiasenegalensis,Gymnosporia senegalensis,3793847,SPECIES
gynandropsisgynandra,Gynandropsis gynandra,3054227,
gypsafricanus,Gyps africanus,9487001,SPECIES
gypsrueppellii,Gyps rueppellii,2480384,SPECIES
gyrocarpusamericanussubsppinnatilobuskubitzki,Gyrocarpus americanus subsp. pinnatilobus,7853171,SUBSPECIES
halcyonsenegalensis,Halcyon senegalensis,5228340,SPECIES
harpezocatantopsstylifer,Harpezocatantops stylifer,1700503,SPECIES
heeriainsignis,Heeria insignis,5544486,
heliocheilusalbipunctella,Heliocheilus albipunctella,1764656,
heliosciurusgambianus,Heliosciurus gambianus,2437541,SPECIES
herpestesichneumon,Herpestes ichneumon,2434255,SPECIES
heteracrisannulosa,Heteracris annulosa,1701527,SPECIES
heteracrisleani,Heteracris leani,1701567,SPECIES
heterantheracallifolia,Heteranthera callifolia,2766109,SPECIES
hexalobusmonopetalus,Hexalobus monopetalus,3155101,SPECIES
hibiscuscannabinus,Hibiscus cannabinus,3152547,SPECIES
hibiscuslongisepalus,Hibiscus longisepalus,3935816,SPECIES
hibiscusovalifolius,Hibiscus ovalifolius,3935028,
hibiscussabdariffa,Hibiscus sabdariffa,3152582,SPECIES
hieroglyphusdaganensis,Hieroglyphus daganensis,1703205,SPECIES
hildebrandtiaornata,Hildebrandtia ornata,5218012,SPECIES
himantopushimantopus,Himantopus himantopus,5229126,SPECIES
hippopotamusamphibius,Hippopotamus amphibius,2441247,SPECIES
hippotragusequinuskoba,Hippotragus equinus koba,4262743,SUBSPECIES
homoxyrrhepespunctipennis,Homoxyrrhepes punctipennis,1711804,SPECIES
hoplobatrachusoccipitalis,Hoplobatrachus occipitalis,2430378,SPECIES
humbetenuicornis,Humbe tenuicornis,1704235,SPECIES
hyaenahyaena,Hyaena hyaena,5218777,SPECIES
hyalommaimpeltatum,Hyalomma impeltatum,2182989,
hycleusaffinis,Hycleus affinis,6955734,
hydrocynusforskahlii,Hydrocynus forskahlii,2356166,SPECIES
hygrophilaauriculata,Hygrophila auriculata,9155704,SPECIES
hylaranagalamensis,Hylarana galamensis,2426873,SPECIES
hyphaenethebaica,Hyphaene thebaica,7931200,SPECIES
hypoderma,Hypoderma,1587282,GENUS
hyptisspicigera,Hyptis spicigera,7664995,
hyptissuaveolens,Hyptis suaveolens,3889017,
hystrixcristata,Hystrix cristata,5219888,SPECIES
ichneumiaalbicauda,Ichneumia albicauda,9468301,
ictonyxstriatus,Ictonyx striatus,2433840,SPECIES
indigoferaastragalina,Indigofera astragalina,2972077,SPECIES
indigoferacoeruleaoccidentalis,Indigofera coerulea occidentalis,2971773,VARIETY
indigoferahirsutavarhirsuta,Indigofera hirsuta var hirsuta,2972082,
indigoferaleprieurii,Indigofera leprieurii,2972143,SPECIES
indigoferaoblongifolia,Indigofera oblongifolia,2971726,SPECIES
indigoferaomissa,Indigofera omissa,2971574,SPECIES
indigoferastenophyllavarstenophylla,Indigofera stenophylla var. stenophylla,9069160,VARIETY
indigoferatinctoriatinctoria,Indigofera tinctoria tinctoria,4929518,SUBSPECIES
ipomoeaaquatica,Ipomoea aquatica,2928525,SPECIES
ipomoeaasarifolia,Ipomoea asarifolia,2928595,SPECIES
ipomoeabatatas,Ipomoea batatas,2928551,SPECIES
ipomoeacoptica,Ipomoea coptica,8117771,
ipomoeacoscinosperma,Ipomoea coscinosperma,3680903,SPECIES
ipomoeadichroa,Ipomoea dichroa,3680235,SPECIES
ipomoea,Ipomoea,2928509,GENUS
ipomoeaobscura,Ipomoea obscura,2928565,SPECIES
ipomoeapestigridis,Ipomoea pes-tigridis,2928524,SPECIES
ipomoeavagans,Ipomoea vagans,7857257,SPECIES
jacquemontiatamnifolia,Jacquemontia tamnifolia,5341725,SPECIES
jatrophacurcas,Jatropha curcas,3072953,SPECIES
jatrophagossypiifolia,Jatropha gossypiifolia,3072900,SPECIES
khayasenegalensis,Khaya senegalensis,3190508,SPECIES
kigeliaafricana,Kigelia africana,3172561,SPECIES
kleiniacliffordiana,Kleinia cliffordiana,5405694,SPECIES
kraussariaangulifera,Kraussaria angulifera,1706307,SPECIES
kraussellaamabile,Kraussella amabile,5098399,SPECIES
labeosenegalensis,Labeo senegalensis,5206149,SPECIES
lachlathetesfurfuraceus,Lachlathetes furfuraceus,2101014,SPECIES
lagenariasiceraria,Lagenaria siceraria,2874672,SPECIES
lagonostictasenegala,Lagonosticta senegala,2493680,SPECIES
lamprotorniscaudatus,Lamprotornis caudatus,2489076,SPECIES
lamprotornischalybaeus,Lamprotornis chalybaeus,2489071,SPECIES
lamprotornispulcher,Lamprotornis pulcher,2489087,SPECIES
lanelaternotodonta,Lanelater notodonta,4428974,SPECIES
laniusmeridionalis,Lanius meridionalis,7341500,SPECIES
lanneahumilis,Lannea humilis,3660948,SPECIES
lanneamicrocarpa,Lannea microcarpa,3660881,SPECIES
lantanacamara,Lantana camara,2925303,SPECIES
latastialongicaudata,Latastia longicaudata,5960643,SPECIES
latesniloticus,Lates niloticus,2393184,SPECIES
lawsoniainermis,Lawsonia inermis,5420912,SPECIES
leonotisnepetifoliaafricana,Leonotis nepetifolia africana,7741209,VARIETY
lepidagathisanobrya,Lepidagathis anobrya,3777231,SPECIES
lepisanthessenegalensis,Lepisanthes senegalensis,3784947,SPECIES
leptadeniahastata,Leptadenia hastata,3580243,
